'''
Port specification for my applications.  
'''
2335 TCP    ASUS shipping
2336 TCP    Lenovo shipping
2337 TCP    One Ship
2338 TCP    Clicker
2339 TCP    QR Chat
2340 TCP    Local only port. Implemented thru firewall
2341 TCP    Simplinstrument ableton-python-processing-arduino
2342 TCP    multi_term portAllocator
2343 TCP    Where Dit'Go Frontend
2344 TCP    Where Dit'Go Backend
2345 TCP    Where Dit'Go proxy
2346 TCP    Folder Go
2347 TCP    Mobile Numpad
2348 TCP    Nozomi.la AI
2349 TCP    better instrument
2350 TCP    MIDI over TCP
2351 None   shared_root.py
2352 UDP    Music X Flute
